year,month,day,obs_time,SO2,NO2,PM10,PM25,CO2,O3
2010,6,22,2,99999,17,99999,99999,99999,99999
2010,6,22,3,99999,11,99999,99999,99999,99999
2010,6,22,4,99999,15,99999,99999,99999,99999
2010,6,22,5,99999,18,99999,99999,99999,99999
2010,6,22,6,99999,9,99999,99999,99999,99999
2010,6,22,7,99999,7,99999,99999,99999,99999
2010,6,22,8,99999,11,99999,99999,99999,99999
2010,6,22,9,99999,9,99999,99999,99999,99999
2010,6,22,10,99999,99999,99999,99999,99999,99999
2010,6,22,11,99999,99999,99999,99999,99999,99999
2010,6,22,12,99999,11,99999,99999,99999,99999
2010,6,22,13,99999,9,99999,99999,99999,99999
2010,6,22,14,99999,9,99999,99999,99999,99999
2010,6,22,15,99999,11,99999,99999,99999,99999
2010,6,22,16,99999,11,99999,99999,99999,99999
2010,6,22,17,99999,13,99999,99999,99999,99999
2010,6,22,18,99999,11,99999,99999,99999,99999
2010,6,22,19,99999,14,99999,99999,99999,99999
2010,6,22,20,99999,16,99999,99999,99999,99999
2010,6,22,21,99999,18,99999,99999,99999,99999
2010,6,22,22,99999,31,99999,99999,99999,99999
2010,6,22,23,99999,23,99999,99999,99999,99999
2010,6,23,0,99999,14,99999,99999,99999,99999
2010,6,23,1,99999,16,99999,99999,99999,99999
2010,6,23,2,99999,15,99999,99999,99999,99999
2010,6,23,3,99999,14,99999,99999,99999,99999
2010,6,23,4,99999,10,99999,99999,99999,99999
2010,6,23,5,99999,15,99999,99999,99999,99999
2010,6,23,6,99999,20,99999,99999,99999,99999
2010,6,23,7,99999,24,99999,99999,99999,99999
2010,6,23,8,99999,15,99999,99999,99999,99999
2010,6,23,9,99999,10,99999,99999,99999,99999
2010,6,23,10,99999,10,99999,99999,99999,99999
2010,6,23,11,99999,12,99999,99999,99999,99999
2010,6,23,12,99999,12,99999,99999,99999,99999
2010,6,23,13,99999,15,99999,99999,99999,99999
2010,6,23,14,99999,12,99999,99999,99999,99999
2010,6,23,15,99999,12,99999,99999,99999,99999
2010,6,23,16,99999,15,99999,99999,99999,99999
2010,6,23,17,99999,15,99999,99999,99999,99999
2010,6,23,18,99999,16,99999,99999,99999,99999
2010,6,23,19,99999,19,99999,99999,99999,99999
2010,6,23,20,99999,18,99999,99999,99999,99999
2010,6,23,21,99999,18,99999,99999,99999,99999
2010,6,23,22,99999,21,99999,99999,99999,99999
2010,6,23,23,99999,15,99999,99999,99999,99999
2010,6,24,0,99999,19,99999,99999,99999,99999
2010,6,24,1,99999,25,99999,99999,99999,99999
2010,6,24,2,99999,19,99999,99999,99999,99999
2010,6,24,3,99999,27,99999,99999,99999,99999
2010,6,24,4,99999,13,99999,99999,99999,99999
2010,6,24,5,99999,19,99999,99999,99999,99999
2010,6,24,6,99999,18,99999,99999,99999,99999
2010,6,24,7,99999,11,99999,99999,99999,99999
2010,6,24,8,99999,14,99999,99999,99999,99999
2010,6,24,9,99999,17,99999,99999,99999,99999
2010,6,24,10,99999,11,99999,99999,99999,99999
2010,6,24,11,99999,13,99999,99999,99999,99999
2010,6,24,12,99999,13,99999,99999,99999,99999
2010,6,24,13,99999,16,99999,99999,99999,99999
2010,6,24,14,99999,16,99999,99999,99999,99999
2010,6,24,15,99999,13,99999,99999,99999,99999
2010,6,24,16,99999,14,99999,99999,99999,99999
2010,6,24,17,99999,14,99999,99999,99999,99999
2010,6,24,18,99999,16,99999,99999,99999,99999
2010,6,24,19,99999,14,99999,99999,99999,99999
2010,6,24,20,99999,21,99999,99999,99999,99999
2010,6,24,21,99999,30,99999,99999,99999,99999
2010,6,24,22,99999,41,99999,99999,99999,99999
2010,6,24,23,99999,27,99999,99999,99999,99999
2010,6,25,0,99999,31,99999,99999,99999,99999
2010,6,25,1,99999,23,99999,99999,99999,99999
2010,6,25,2,99999,20,99999,99999,99999,99999
2010,6,25,3,99999,18,99999,99999,99999,99999
2010,6,25,4,99999,28,99999,99999,99999,99999
2010,6,25,5,99999,31,99999,99999,99999,99999
2010,6,25,6,99999,13,99999,99999,99999,99999
2010,6,25,7,99999,15,99999,99999,99999,99999
2010,6,25,8,99999,26,99999,99999,99999,99999
2010,6,25,9,99999,17,99999,99999,99999,99999
2010,6,25,10,99999,17,99999,99999,99999,99999
2010,6,25,11,99999,18,99999,99999,99999,99999
2010,6,25,12,99999,16,99999,99999,99999,99999
2010,6,25,13,99999,13,99999,99999,99999,99999
2010,6,25,14,99999,16,99999,99999,99999,99999
2010,6,25,15,99999,14,99999,99999,99999,99999
2010,6,25,16,99999,22,99999,99999,99999,99999
2010,6,25,17,99999,18,99999,99999,99999,99999
2010,6,25,18,99999,26,99999,99999,99999,99999
2010,6,25,19,99999,22,99999,99999,99999,99999
2010,6,25,20,99999,24,99999,99999,99999,99999
2010,6,25,21,99999,48,99999,99999,99999,99999
2010,6,25,22,99999,39,99999,99999,99999,99999
2010,6,25,23,99999,36,99999,99999,99999,99999
2010,6,26,0,99999,32,99999,99999,99999,99999
2010,6,26,1,99999,27,99999,99999,99999,99999
2010,6,26,2,99999,25,99999,99999,99999,99999
2010,6,26,3,99999,23,99999,99999,99999,99999
2010,6,26,4,99999,49,99999,99999,99999,99999
2010,6,26,5,99999,23,99999,99999,99999,99999
2010,6,26,6,99999,17,99999,99999,99999,99999
2010,6,26,7,99999,18,99999,99999,99999,99999
2010,6,26,8,99999,16,99999,99999,99999,99999
2010,6,26,9,99999,17,99999,99999,99999,99999
2010,6,26,10,99999,22,99999,99999,99999,99999
2010,6,26,11,99999,21,99999,99999,99999,99999
2010,6,26,12,99999,19,99999,99999,99999,99999
